id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Pulse,Synth Horizon,electronic,intense,0.89,136,0.62,0.85,0.08
12,Whispered Dreams,Soft Echoes,ambient,relaxed,0.32,68,0.68,0.38,0.94
13,Electric Thunder,Power Chord,rock,intense,0.88,144,0.51,0.72,0.12
14,Smooth Session,Jazz Collective,jazz,relaxed,0.45,95,0.74,0.48,0.87
15,Study Beats,Night Owl,lofi,focused,0.38,76,0.62,0.55,0.81
16,Summer Vibes,Tropical Wave,pop,happy,0.85,128,0.86,0.81,0.14
17,Neon Shadows,Retro Nights,synthwave,moody,0.72,115,0.52,0.68,0.19
18,Autumn Walk,Folk Stories,indie,relaxed,0.48,98,0.75,0.52,0.78
19,Digital Dreams,Empty Space,electronic,chill,0.35,82,0.58,0.45,0.25
20,Dance All Night,Rhythm Kings,pop,happy,0.91,140,0.83,0.87,0.06